FIPS,Tract,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
36103158304,Census Tract 1583.04,Suffolk County,New York,0.388,0.3959760273972603,0.4289383561643836,0.9040976460331299,0.20926399354144243,0.024497487437185928,0.0,0.058823529411764705,,0.0,0.0012099213551119178
36103158306,Census Tract 1583.06,Suffolk County,New York,0.4091,0.40180813661476644,0.4198895027624309,0.7708881578947369,0.19250793650793652,0.01741654571843251,0.08664259927797834,0.0,0.0,0.0,0.0051378660729576985
36103158309,Census Tract 1583.09,Suffolk County,New York,0.4169,0.1871893981225842,0.22584207620099392,0.3677685950413223,0.1109208546862196,0.030782761653474055,0.07367280606717226,0.05555555555555555,0.0,0.06726457399103139,0.006512006512006512
36103158310,Census Tract 1583.10,Suffolk County,New York,0.4044,0.1726223199560198,0.2957669048927982,0.8087027914614121,0.2750967059368078,0.06029684601113173,0.0,0.09686609686609686,0.0,0.20754716981132076,0.018655097613882864
36103158315,Census Tract 1583.15,Suffolk County,New York,0.3721,0.2571756601607348,0.23076923076923078,0.5184376516254245,0.22899123744389827,0.02018348623853211,0.18803418803418803,0.08566433566433566,0.0,0.0,0.003745318352059925
36103158317,Census Tract 1583.17,Suffolk County,New York,0.3334,0.2007042253521127,0.27515090543259557,0.8084339520634348,0.09747903437217653,0.0,0.0,0.23047619047619047,0.0,0.0,0.01712076583210604
36103158318,Census Tract 1583.18,Suffolk County,New York,0.3312,0.3071095571095571,0.3613053613053613,0.7456835263050985,0.23773451141540525,0.009409751924721984,0.16923076923076924,0.0,0.0,0.0,0.008561643835616438
36103158319,Census Tract 1583.19,Suffolk County,New York,0.3847,0.26167531504818387,0.27353595255744995,0.6780358006773101,0.07442211055276382,0.09399773499433749,0.0,0.046153846153846156,0.0,0.08620689655172414,0.010072314049586776
36103158320,Census Tract 1583.20,Suffolk County,New York,0.4376,0.20729537366548043,0.22909252669039146,0.6255012028869287,0.2211496322266574,0.0,0.033123028391167195,0.0,0.0,0.0,0.001988400994200497
36103158322,Census Tract 1583.22,Suffolk County,New York,0.3949,0.43266832917705733,0.4027431421446384,0.7056737588652482,0.20436166873439854,0.0,0.0,0.0,0.0,0.0,0.0
36103158324,Census Tract 1583.24,Suffolk County,New York,0.3886,0.20061412487205732,0.24872057318321392,0.5938847510780086,0.493156273982184,0.06442577030812324,0.0,0.0,0.0,0.0,0.11330255979857323
36103158325,Census Tract 1583.25,Suffolk County,New York,0.371,0.10387710314557425,0.05596196049743965,0.4156414762741652,0.2810416338531002,0.0,0.0,0.02600216684723727,0.0,0.0,0.011405295315682282
36103158326,Census Tract 1583.26,Suffolk County,New York,0.4769,-0.08159392789373814,0.19734345351043645,0.6848899012908124,0.4158797687861272,0.0,0.30357142857142855,0.10984848484848485,0.0,0.0,0.1232986389111289
36103158327,Census Tract 1583.27,Suffolk County,New York,0.3444,0.2504520795660036,0.33770343580470163,0.6577868852459017,0.19525467181079004,0.0,0.0,0.14370468029004616,0.0,0.0,0.035597112860892385
36103158328,Census Tract 1583.28,Suffolk County,New York,0.3634,0.3765743073047859,0.371536523929471,0.7560744115413819,0.444654010558341,0.0,0.0,0.061224489795918366,,0.0,0.013263116832455627
36103158329,Census Tract 1583.29,Suffolk County,New York,0.3197,0.43,0.446,0.8012820512820513,0.5524119624169277,0.0,0.0,0.0,,0.0,0.0
36103158401,Census Tract 1584.01,Suffolk County,New York,0.4768,0.2613168724279835,0.3395061728395062,0.8136,0.3284257356683695,0.0,0.0,0.03305785123966942,0.0,0.0,0.0
36103158402,Census Tract 1584.02,Suffolk County,New York,0.3151,0.5116115411681914,0.4968332160450387,0.8501982057166702,0.2937946827021033,0.026568265682656828,0.0,0.03625954198473282,,0.0,0.003257328990228013
36103158403,Census Tract 1584.03,Suffolk County,New York,0.4551,0.056638811513463325,0.17363045496750232,0.5898155573376103,0.3508109668109668,0.0,0.0,0.043243243243243246,0.1527777777777778,0.0,0.020206362854686157
36103158407,Census Tract 1584.07,Suffolk County,New York,0.4001,0.3282674772036474,0.38703140830800403,0.826173645096973,0.3905962225994005,0.0,0.0,0.03194444444444444,,0.0,0.009598432908912831
36103158408,Census Tract 1584.08,Suffolk County,New York,0.3482,0.10213940648723258,0.158040027605245,0.8118975488846047,0.2598739522764322,0.0,0.0,0.0,0.0,0.0,0.004169148302561048
36103158409,Census Tract 1584.09,Suffolk County,New York,0.4388,0.03368560105680317,0.21003963011889035,0.8353070779399614,-0.07381044701711637,0.0,0.0,0.0379746835443038,0.0,0.1728395061728395,0.004503236701379116
36103158410,Census Tract 1584.10,Suffolk County,New York,0.5722,-0.12215758857747223,0.12215758857747223,0.9323281907433381,0.23649329594251156,0.0,0.0,0.0,,0.0,0.015778401122019635
36103158411,Census Tract 1584.11,Suffolk County,New York,0.3384,0.5799031476997578,0.5799031476997578,0.7083728278041074,-0.011904761904761862,0.0,0.045454545454545456,0.04358974358974359,0.0,0.0,0.015339425587467363
36103158412,Census Tract 1584.12,Suffolk County,New York,0.3315,0.3227722772277228,0.3495049504950495,0.8559608875517112,-0.036651936573953714,0.0,,0.0,,0.0,0.0
36103158502,Census Tract 1585.02,Suffolk County,New York,0.4438,0.014341590612777053,0.17209908735332463,0.6065440778799351,0.2849243920925436,0.011428571428571429,0.21678321678321677,0.0,,0.19393939393939394,0.0198656149576395
36103158505,Census Tract 1585.05,Suffolk County,New York,0.4863,0.18924889543446244,0.3173784977908689,0.638974358974359,0.2728069552033734,0.06224899598393574,0.0,0.27664670658682633,0.0,0.0,0.004753102719831001
36103158506,Census Tract 1585.06,Suffolk County,New York,0.323,0.31776556776556775,0.3159340659340659,0.7590159351411797,0.24367682119205303,0.0,0.0,0.0038461538461538464,,0.0,0.0037583116507661175
36103158509,Census Tract 1585.09,Suffolk County,New York,0.3496,0.0011280315848843769,0.13818386914833616,0.5748617203890902,0.15898398037234807,0.0659090909090909,0.0,0.12859424920127796,0.0,0.07317073170731707,0.02289758534554538
36103158510,Census Tract 1585.10,Suffolk County,New York,0.3353,0.26247689463955637,0.20702402957486138,0.5810158910329172,0.21823454042754065,0.06254343293954134,0.005813953488372093,0.276668960770819,0.0,0.0975609756097561,0.031501940877873995
